Datetime,Close,MACD_Crossover,YBR_Crossover,adx,macd,candle,Signal,Return
2022-10-03 14:00:00-04:00,3707.0,0,0,31.326795,12.508261,CDLBELTHOLD_Bull,0,
2022-10-03 15:00:00-04:00,3691.75,0,0,33.107038,14.664446,NO_PATTERN,0,
2022-10-03 16:00:00-04:00,3694.5,0,0,34.760122,16.406023,NO_PATTERN,0,
2022-10-03 18:00:00-04:00,3690.75,0,0,35.864961,17.284397,CDLENGULFING_Bear,0,
2022-10-03 19:00:00-04:00,3702.5,0,0,36.994357,18.712931,CDLENGULFING_Bull,0,
2022-10-03 20:00:00-04:00,3713.5,0,0,38.45369,20.496393,CDL3OUTSIDE_Bull,0,
2022-10-03 21:00:00-04:00,3706.5,0,0,39.808785,21.10171,NO_PATTERN,0,
2022-10-03 22:00:00-04:00,3710.75,0,0,40.56427,21.674517,CDLHAMMER_Bull,0,
2022-10-03 23:00:00-04:00,3721.75,0,0,41.650168,22.753788,CDLCLOSINGMARUBOZU_Bull,0,
2022-10-04 00:00:00-04:00,3724.75,0,0,42.853293,23.579384,CDLSPINNINGTOP_Bull,0,
2022-10-04 01:00:00-04:00,3727.0,0,0,43.977752,24.136995,CDLADVANCEBLOCK_Bull,0,
2022-10-04 02:00:00-04:00,3732.75,0,0,45.141828,24.757494,NO_PATTERN,0,
2022-10-04 03:00:00-04:00,3744.25,0,0,46.557497,25.878882,NO_PATTERN,0,
2022-10-04 04:00:00-04:00,3745.25,0,0,47.884958,26.542318,CDLDOJI_Bull,0,
2022-10-04 05:00:00-04:00,3748.25,0,0,48.496764,26.998944,CDLADVANCEBLOCK_Bear,0,
2022-10-04 06:00:00-04:00,3753.25,0,0,49.423626,27.447879,NO_PATTERN,0,
2022-10-04 07:00:00-04:00,3752.5,0,0,50.284283,27.426984,CDLDOJI_Bull,0,
2022-10-04 08:00:00-04:00,3750.25,0,0,50.479622,26.918568,NO_PATTERN,0,
2022-10-04 09:00:00-04:00,3786.0,0,0,51.584771,29.065323,CDLCLOSINGMARUBOZU_Bull,0,
2022-10-04 10:00:00-04:00,3798.25,0,0,52.872394,31.393234,CDLBELTHOLD_Bull,0,
2022-10-04 11:00:00-04:00,3796.25,0,0,54.115311,32.699793,CDLHIGHWAVE_Bear,0,
2022-10-04 12:00:00-04:00,3787.75,0,0,54.672747,32.672741,NO_PATTERN,0,
2022-10-04 13:00:00-04:00,3789.0,0,0,53.485315,32.378922,CDLDOJI_Bull,0,
2022-10-04 14:00:00-04:00,3797.25,0,0,52.62264,32.437852,NO_PATTERN,0,
2022-10-04 15:00:00-04:00,3805.0,0,0,52.018637,32.732593,CDLCLOSINGMARUBOZU_Bull,0,
2022-10-04 16:00:00-04:00,3803.5,0,0,51.565109,32.470837,CDLDOJI_Bull,0,
2022-10-04 18:00:00-04:00,3797.0,0,0,50.596385,31.3772,NO_PATTERN,0,
2022-10-04 19:00:00-04:00,3796.25,2,0,49.459793,30.102959,CDLDOJI_Bull,0,
2022-10-04 20:00:00-04:00,3788.0,2,0,47.710804,28.103448,NO_PATTERN,0,
2022-10-04 21:00:00-04:00,3783.25,2,0,45.668362,25.837695,NO_PATTERN,0,
2022-10-04 22:00:00-04:00,3784.25,0,0,43.771808,23.847858,CDLDOJI_Bull,0,
2022-10-04 23:00:00-04:00,3786.0,0,0,42.010723,22.156699,NO_PATTERN,0,
2022-10-05 00:00:00-04:00,3782.75,0,0,40.297509,20.31996,CDLHIKKAKE_Bull,0,
2022-10-05 01:00:00-04:00,3788.0,0,0,38.874934,19.068157,CDLBELTHOLD_Bull,0,
2022-10-05 02:00:00-04:00,3783.75,0,0,37.553972,17.531067,CDLBELTHOLD_Bear,0,
2022-10-05 03:00:00-04:00,3777.75,0,0,35.625521,15.648377,NO_PATTERN,0,
2022-10-05 04:00:00-04:00,3775.0,0,0,33.465468,13.775633,CDLSPINNINGTOP_Bear,0,
2022-10-05 05:00:00-04:00,3766.25,0,0,31.615709,11.453391,NO_PATTERN,0,
2022-10-05 06:00:00-04:00,3778.25,0,0,29.764023,10.460712,CDLCLOSINGMARUBOZU_Bull,0,
2022-10-05 07:00:00-04:00,3770.0,0,0,27.960443,8.905642,CDLBELTHOLD_Bear,0,
2022-10-05 08:00:00-04:00,3765.25,0,0,26.720123,7.206876,NO_PATTERN,0,
2022-10-05 09:00:00-04:00,3768.5,0,0,26.045268,6.053064,CDLHIGHWAVE_Bull,0,
2022-10-05 10:00:00-04:00,3738.5,0,0,27.014279,2.686937,CDLBELTHOLD_Bear,0,
2022-10-05 11:00:00-04:00,3755.25,0,0,27.914075,1.35522,NO_PATTERN,0,
2022-10-05 12:00:00-04:00,3778.0,0,0,26.142253,2.111222,CDLHIKKAKE_Bear,0,
2022-10-05 13:00:00-04:00,3783.5,0,0,25.111491,3.118219,NO_PATTERN,0,
2022-10-05 14:00:00-04:00,3802.0,0,0,24.277844,5.347425,CDLBELTHOLD_Bull,0,
2022-10-05 15:00:00-04:00,3797.0,1,0,24.443548,6.634154,CDLSPINNINGTOP_Bear,0,
2022-10-05 16:00:00-04:00,3795.75,1,0,24.597415,7.466957,CDLDOJI_Bull,0,
2022-10-05 18:00:00-04:00,3800.0,1,0,24.401813,8.373376,CDLHAMMER_Bull,0,
2022-10-05 19:00:00-04:00,3811.25,0,0,24.8579,9.885546,CDLCLOSINGMARUBOZU_Bull,0,
2022-10-05 20:00:00-04:00,3814.5,0,0,25.579153,11.216898,CDLSPINNINGTOP_Bull,0,
2022-10-05 21:00:00-04:00,3811.75,0,0,25.934383,11.912779,NO_PATTERN,0,
2022-10-05 22:00:00-04:00,3812.0,0,0,26.264239,12.342169,CDLDOJI_Bull,0,
2022-10-05 23:00:00-04:00,3812.75,0,0,26.764758,12.597764,CDLDOJI_Bull,0,
2022-10-06 00:00:00-04:00,3814.0,0,0,26.978298,12.754167,CDLGAPSIDESIDEWHITE_Bull,0,
2022-10-06 01:00:00-04:00,3815.75,0,0,27.389023,12.87096,CDLSPINNINGTOP_Bull,0,
2022-10-06 02:00:00-04:00,3793.5,2,0,25.849894,11.040858,CDLBELTHOLD_Bear,0,
2022-10-06 03:00:00-04:00,3794.5,2,0,24.061792,9.560967,CDLDOJI_Bull,0,
2022-10-06 04:00:00-04:00,3780.75,2,0,23.087671,7.195686,NO_PATTERN,0,
2022-10-06 05:00:00-04:00,3769.5,0,2,22.744004,4.363107,CDLBELTHOLD_Bear,0,
2022-10-06 06:00:00-04:00,3768.5,0,2,22.709454,2.014357,CDLDOJI_Bull,0,
2022-10-06 07:00:00-04:00,3775.5,0,2,22.029516,0.709616,CDLBELTHOLD_Bull,0,
2022-10-06 08:00:00-04:00,3787.75,0,1,20.898272,0.656505,NO_PATTERN,0,-0.1
2022-10-06 09:00:00-04:00,3786.25,0,1,20.64603,0.487753,CDLHIGHWAVE_Bear,0,-0.1
