Datetime,Return,Predictions
2024-07-15 00:30:00+00:00,0.0,-0.033209115847192994
2024-07-15 00:45:00+00:00,0.01,-0.032973553361630506
2024-07-15 01:00:00+00:00,0.01,-0.03308373254891495
2024-07-15 01:15:00+00:00,0.03,-0.03185577457052383
2024-07-15 01:30:00+00:00,0.0,-0.02405143203800799
2024-07-15 01:45:00+00:00,0.0,-0.044643768080730055
2024-07-15 02:00:00+00:00,0.0,0.049719075665948596
2024-07-15 02:15:00+00:00,0.01,0.046798767852579234
2024-07-15 02:30:00+00:00,0.02,0.04752288137036032
2024-07-15 02:45:00+00:00,-0.02,0.03101030923788444
2024-07-15 03:00:00+00:00,0.11,0.0021322277294311444
2024-07-15 03:15:00+00:00,0.07,0.09547505916360094
2024-07-15 03:30:00+00:00,0.06,0.09874248214477847
2024-07-15 03:45:00+00:00,0.04,0.099505359891022
2024-07-15 04:00:00+00:00,0.01,0.10867428755114517
2024-07-15 04:15:00+00:00,-0.01,0.16353486993884173
2024-07-15 04:30:00+00:00,-0.04,0.19768482402959162
2024-07-15 04:45:00+00:00,-0.04,0.14292241171945744
2024-07-15 05:00:00+00:00,-0.05,0.14313650893919344
2024-07-15 05:15:00+00:00,-0.06,0.3311021997583064
2024-07-15 05:30:00+00:00,-0.07,-0.027118720365137676
2024-07-15 05:45:00+00:00,-0.04,-0.02983780237818521
2024-07-15 06:00:00+00:00,-0.04,-0.027118720365137676
2024-07-15 06:15:00+00:00,-0.03,0.03111678470452834
2024-07-15 06:30:00+00:00,-0.04,0.3600815633186205
2024-07-15 06:45:00+00:00,-0.05,0.3507577143693406
2024-07-15 07:00:00+00:00,-0.07,0.36681757378990854
2024-07-15 07:15:00+00:00,-0.1,-0.015737519473485954
2024-07-15 07:30:00+00:00,-0.04,0.29254499837933645
2024-07-15 07:45:00+00:00,-0.03,0.30859920961860965
2024-07-15 08:00:00+00:00,-0.07,0.1442111185233865
2024-07-15 08:15:00+00:00,-0.05,0.17626019256206182
2024-07-15 08:30:00+00:00,-0.01,0.19768482402959162
2024-07-15 08:45:00+00:00,0.0,0.2005797067790818
2024-07-15 09:00:00+00:00,0.0,0.20933473174817688
2024-07-15 09:15:00+00:00,-0.07,0.07613530634788418
2024-07-15 09:30:00+00:00,-0.04,0.10867428755114517
2024-07-15 09:45:00+00:00,-0.04,0.014915456550458214
2024-07-15 10:00:00+00:00,-0.1,0.01627736131236298
2024-07-15 10:15:00+00:00,-0.1,0.017460123120240836
2024-07-15 10:30:00+00:00,-0.1,0.015495970117576354
2024-07-15 10:45:00+00:00,-0.1,0.0734644963177721
2024-07-15 11:00:00+00:00,-0.1,0.14449195200157453
2024-07-15 11:15:00+00:00,-0.1,0.19768482402959162
2024-07-15 11:30:00+00:00,-0.1,0.19768482402959162
2024-07-15 11:45:00+00:00,-0.1,0.1854480319239555
2024-07-15 12:00:00+00:00,-0.1,0.19768482402959162
2024-07-15 12:15:00+00:00,-0.1,0.16353486993884173
2024-07-15 12:30:00+00:00,-0.1,0.13074464566196106
2024-07-15 12:45:00+00:00,-0.1,0.040343652614046495
2024-07-15 13:00:00+00:00,-0.06,0.032947680519581406
2024-07-15 13:15:00+00:00,-0.09,0.10101144421794032
2024-07-15 13:30:00+00:00,-0.01,0.10101144421794032
2024-07-15 13:45:00+00:00,-0.03,0.10101144421794032
2024-07-15 14:00:00+00:00,0.15,0.01627736131236298
2024-07-15 14:15:00+00:00,0.01,0.012658580490204976
2024-07-15 14:30:00+00:00,0.04,-0.019498728246131698
2024-07-15 14:45:00+00:00,-0.04,0.09156948951892722
2024-07-15 15:00:00+00:00,-0.04,0.10472457084842658
2024-07-15 15:15:00+00:00,-0.1,0.03895736279450892
2024-07-15 15:30:00+00:00,0.13,0.09938128734528821
2024-07-15 15:45:00+00:00,0.0,0.10472457084842658
2024-07-15 16:00:00+00:00,0.03,0.044550107834501806
2024-07-15 16:15:00+00:00,0.02,-0.02264515675893933
2024-07-15 16:30:00+00:00,-0.08,-0.01769137295793176
2024-07-15 16:45:00+00:00,0.16,-0.026187147814419557
2024-07-15 18:00:00+00:00,0.0,-0.01266248160982455
2024-07-15 18:15:00+00:00,-0.04,0.09506786273683929
2024-07-15 18:30:00+00:00,0.0,-0.01625847712287198
2024-07-15 18:45:00+00:00,0.01,0.034193736755662146
2024-07-15 19:00:00+00:00,-0.0,0.037587256875936566
2024-07-15 19:15:00+00:00,-0.02,0.03101030923788444
2024-07-15 19:30:00+00:00,-0.03,0.10472457084842658
2024-07-15 19:45:00+00:00,0.0,0.10250098808198665
2024-07-15 20:00:00+00:00,-0.01,0.011513898274734808
2024-07-15 20:15:00+00:00,-0.04,0.10250098808198665
2024-07-15 20:30:00+00:00,0.02,0.026523492064672846
2024-07-15 20:45:00+00:00,0.0,0.01790855313392711
2024-07-15 21:00:00+00:00,-0.01,0.025476348474613334
2024-07-15 21:15:00+00:00,0.01,0.06180536970434935
2024-07-15 21:30:00+00:00,0.0,0.07342677650064451
2024-07-15 21:45:00+00:00,0.04,0.07551034174492405
2024-07-15 22:00:00+00:00,0.0,0.03845959972885771
2024-07-15 22:15:00+00:00,-0.0,0.03375764483498799
2024-07-15 22:30:00+00:00,0.01,0.050895076828140755
2024-07-15 22:45:00+00:00,-0.01,0.022012249371060756
2024-07-15 23:00:00+00:00,0.03,0.03183137828965448
2024-07-15 23:15:00+00:00,-0.02,0.0009079910825575268
2024-07-15 23:30:00+00:00,0.0,-0.03835531588910439
2024-07-15 23:45:00+00:00,0.01,-0.025848072256356113
2024-07-16 00:00:00+00:00,-0.02,-0.024433641032716988
2024-07-16 00:15:00+00:00,-0.0,-0.024433641032716988
2024-07-16 00:30:00+00:00,0.01,-0.014764978775040983
